person_id,name,eligible,missed
412538,Rep. Jackie Walorski [R-IN2],519,11
412618,Rep. Mimi Walters [R-CA45],519,5
412214,Rep. Timothy Walz [D-MN1],519,3
412321,Sen. Mark Warner [D-VA],271,8
412542,Sen. Elizabeth Warren [D-MA],271,0
400623,Rep. Debbie Wasserman Schultz [D-FL23],519,74
400422,Rep. Maxine Waters [D-CA43],505,32
412644,Rep. Bonnie Watson Coleman [D-NJ12],519,4
412574,Rep. Randy Weber [R-TX14],519,2
412410,Rep. Daniel Webster [R-FL10],519,1
412239,Rep. Peter Welch [D-VT0],518,20
412564,Rep. Brad Wenstrup [R-OH2],519,2
412610,Rep. Bruce Westerman [R-AR4],519,2
400627,Rep. Lynn Westmoreland [R-GA3],519,21
412247,Sen. Sheldon Whitehouse [D-RI],271,0
400431,Rep. Ed Whitfield [R-KY1],519,6
400432,Sen. Roger Wicker [R-MS],271,3
412578,Rep. Roger Williams [R-TX25],519,14
412412,Rep. Frederica Wilson [D-FL24],519,29
400433,Rep. Joe Wilson [R-SC2],519,12
412255,Rep. Robert Wittman [R-VA1],519,4
412402,Rep. Steve Womack [R-AR3],519,0
412416,Rep. Rob Woodall [R-GA7],519,15
300100,Sen. Ron Wyden [D-OR],271,2
412211,Rep. John Yarmuth [D-KY3],519,32
412430,Rep. Kevin Yoder [R-KS3],519,4
412525,Rep. Ted Yoho [R-FL3],519,8
412628,Rep. David Young [R-IA3],519,0
400440,Rep. Don Young [R-AK0],505,43
412428,Rep. Todd Young [R-IN9],519,32
412646,Rep. Lee Zeldin [R-NY1],519,1
412640,Rep. Ryan Zinke [R-MT0],519,11
